province,2006.00,2007.00,2008.00,2009.00,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00,ผู้ใช้ทุกปี(เฉลี่ย)
Kanchanaburi,6874822.20,7394417.40,7591924.40,8069905.90,8863963.60,8751684.60,9696280.80,10054491.00,10520009.00,11061137.00,36897.00
Chanthaburi,9391379.00,10330898.00,10606411.00,11109255.00,11698250.00,12240145.00,12790132.00,13032505.00,13122976.00,13416617.00,46487.00
Chachoengsao,19235231.00,22014861.00,23863929.00,24787241.00,26433401.00,28460014.00,31891637.00,32708917.00,33159431.00,35494850.00,70568.00
Chonburi,73697608.24,82545423.58,91133416.90,95542231.15,101291586.30,105305980.00,116098113.00,124223914.00,130329000.00,139337549.50,253206.00
Chainat,1661711.00,1862833.00,1940291.00,2134961.00,2362804.00,2298876.00,2449622.00,2553002.00,2534674.00,2554123.00,9737.00
Trat,4208193.00,4520357.00,4662489.50,4880857.00,4995553.00,5205982.00,5308883.00,5401160.00,5337056.00,5472462.00,21106.00
Nakhon Nayok,4208193.00,4520357.00,4662489.50,4880857.00,4995553.00,5205982.00,5308883.00,5401160.00,5337056.00,5472462.00,15943.00
Nakhon Pathom,11696976.00,12406278.00,12624205.00,12702891.00,13438731.00,13985887.00,14240282.00,14993912.00,15174282.00,16000188.00,36123.00
Pathum Tani,80111252.00,87938640.00,86669285.00,88173244.00,95691316.00,100421736.00,100832657.00,102411731.00,103697240.00,108049799.00,237142.00
Pachuap Kiri Khan,7947406.50,8771309.00,9112039.00,9919721.00,10883045.50,10728691.00,11414859.00,12249583.00,13100302.00,14184987.00,42200.00
Prachin Buri,4543616.00,5088903.00,5298823.00,5487877.00,5856593.00,6005432.00,6889106.00,7369943.00,7721945.00,8171210.00,25580.60
 Phra Nakhon Si Ayutthaya,16298764.42,19536658.00,21760923.00,21647583.00,24020179.00,26262783.00,26936217.00,27962864.00,29096369.00,29768198.00,55348.10
Phetchaburi,8791099.37,9290006.67,9550373.60,10190785.00,10877250.90,11019290.00,11760536.75,12076807.24,12536394.02,13150053.00,41237.10
Rayong,17410472.00,19589841.00,21915610.00,24018032.00,25917982.00,26707074.71,28642732.54,29381003.24,31203960.00,33530289.00,89812.60
Ratchaburi,6833606.00,7732230.00,8191985.00,9015668.00,9837778.80,9862529.00,10613637.00,11262893.70,11741931.00,12594818.00,38613.00
Lop Buri,14053463.00,14890566.50,15444032.00,15842246.00,16671863.00,17091299.00,18656652.00,18552310.00,19040559.00,20242691.00,60951.20
Samut Songkhram,4058103.86,4931687.53,5241765.18,5661387.85,5985959.05,6318471.10,6787836.31,6783094.01,7273862.38,7996074.00,23641.40
Samut Sakhon,43890405.00,50263663.00,55780448.00,60155808.00,68292573.00,73100979.31,78732505.00,80387206.00,81427589.00,84663163.00,81275.80
 Saraburi,9925181.00,10714911.00,11408740.00,11969652.00,13102122.00,13582887.00,15296363.00,16162695.00,16950227.00,18472167.00,43451.30
Sa Kaeo,3837243.50,4323770.00,4680521.00,4876776.00,5420257.00,5511238.00,5957284.00,6398964.94,6710945.00,7115017.28,20555.70
Sing Buri,1787417.00,1889865.00,1955182.00,2083010.00,2204140.00,2132870.00,2223833.00,2227833.00,2194813.00,2133808.00,9586.50
Suphan Buri,9301872.00,10081069.00,10384724.00,11286023.00,11909401.00,11904262.00,12756734.00,13056025.00,13358493.00,13740111.00,51061.60
Ang Thong,2761421.00,2977173.00,3093940.00,3231545.00,3478707.00,3354964.00,3499664.00,3481547.00,3455548.00,3589178.00,14085.60
 Kamphaeng Phet,4312857.00,4624364.00,4802424.00,5123523.00,5672518.00,5608919.00,6123446.00,6347432.00,6318694.00,6546413.00,25421.30
Chiang Mai,24555739.00,27167059.00,28521574.00,30605381.00,33206796.00,33442239.00,36036377.40,38114356.37,39870207.00,43042068.58,115634.50
Chiang Rai,7703415.43,8285056.13,8659173.53,9473372.81,10330576.27,10716016.81,11306892.00,11930035.73,12401768.00,13145570.70,44217.10
Phetchabun,5561917.00,5866327.00,6332343.06,6813526.00,7663553.00,7609796.00,8267051.00,8476830.00,8797928.00,9179666.00,36879.40
Phitsanulok,3267668.00,3489170.00,3810648.00,4107349.00,4658278.50,4576382.00,5345417.00,5773016.00,5790210.00,6413655.00,23312.10
Phrae,3296457.00,3421138.00,3476868.10,3721894.00,4048984.00,3830965.00,4062284.00,4159231.00,4124382.00,4319247.00,19281.50
Lampang,7616197.00,8167034.00,8536931.00,9028179.00,9642938.00,9160585.00,9815877.90,10317456.80,10506119.00,10886194.00,43671.00
Lamphun ,2100454.00,2224034.00,2368502.00,2542262.00,2766470.00,2707024.00,2892183.00,2989694.00,3026406.00,3295983.00,12603.40
Sukhothai,6302195.00,6576232.00,6724399.00,7125642.30,7663857.00,7289557.00,7827180.00,7647908.00,7410358.00,7787157.00,39447.10
Uttaradit ,358675.00,398236.00,426793.00,482472.00,548932.00,504678.00,541865.00,540607.00,531537.00,577371.00,2658.20
Uthai Thani,1133694.00,1232714.00,1269051.00,1424509.00,1571127.00,1456048.00,1663417.00,1753375.00,1770292.00,1867996.00,7306.80
Tak,7293011.50,7913676.00,7944872.00,8630373.00,9666724.29,9453769.00,10351898.00,10641064.00,10872999.00,11032189.00,34308.20
Nakhon Sawan,6659947.00,7068948.00,7294618.50,7990478.00,8915551.00,9016078.97,9851782.00,9915656.00,9913773.00,10527071.00,43959.10
Nan,2878152.00,3091021.00,3151840.00,3428428.00,3817683.00,3779288.00,3921185.00,4046181.00,4013101.00,4197808.00,16261.10
Phayao,3601350.00,3942162.50,3919155.00,4240977.00,4745163.00,4549726.00,4857009.00,4950946.00,5031490.00,5292334.00,22138.90
Phichit,5249677.00,5592792.00,5736235.00,6166739.00,6661517.00,6407939.00,6861618.00,7332644.00,7334728.00,7695029.00,33830.30
Mae Hong Son,1908750.00,2010054.00,2074335.00,2189393.00,2498573.00,2351501.00,2481429.00,2588434.00,2532503.00,2638401.00,9901.50
Kalasin,4933608.00,5293993.00,5379251.00,5882200.00,6517924.00,6703865.00,7130085.00,7332163.30,7163043.00,7414205.00,25718.80
Khon Kaen,31169120.00,33702795.00,34196855.00,36015641.00,39969645.00,40250787.00,43113214.00,43375003.00,44684843.00,46713919.61,146803.30
